idx,task_id,task_type,pass1,passk,surprise,wrote,n_reasoning,n_fact
0,t0,logic,0,0,1.0,1,0,0
1,t1,logic,1,1,0.4,0,0,0
2,t2,fact,0,1,1.0,1,0,0
3,t3,logic,0,1,1.0,1,0,0
4,t4,logic,1,1,1.0,1,0,0
5,t5,logic,1,1,1.0,1,0,0
6,t6,logic,1,1,1.0,1,0,0
7,t7,fact,0,0,1.0,1,0,0
8,t8,logic,0,1,1.0,1,0,0
9,t9,logic,0,1,1.0,1,0,0
10,t10,logic,1,1,1.0,1,0,0
11,t11,fact,0,1,1.0,1,0,0
12,t12,fact,1,1,1.0,1,0,0
13,t13,logic,1,1,1.0,1,0,0
14,t14,logic,1,1,1.0,1,0,0
15,t15,logic,0,1,1.0,1,0,0
16,t16,fact,0,0,1.0,1,0,0
17,t17,logic,1,1,1.0,1,0,0
18,t18,logic,0,1,1.0,1,0,0
19,t19,logic,0,1,1.0,1,0,0
20,t20,logic,0,1,1.0,1,0,0
21,t21,logic,0,1,1.0,1,0,0
22,t22,logic,1,1,0.4,0,0,0
23,t23,fact,0,0,1.0,1,0,0
24,t24,fact,0,0,1.0,1,0,0
25,t25,fact,0,1,1.0,1,0,0
26,t26,fact,1,1,1.0,1,0,0
27,t27,fact,0,0,1.0,1,0,0
28,t28,logic,1,1,1.0,1,0,0
29,t29,fact,0,1,1.0,1,0,0
30,t30,fact,1,1,1.0,1,0,0
31,t31,logic,1,1,1.0,1,0,0
32,t32,fact,0,0,1.0,1,0,0
33,t33,logic,1,1,1.0,1,0,0
34,t34,logic,1,1,1.0,1,0,0
35,t35,logic,0,1,1.0,1,0,0
36,t36,logic,0,1,1.0,1,0,0
37,t37,fact,0,0,1.0,1,0,0
38,t38,fact,0,1,1.0,1,0,0
39,t39,fact,0,1,1.0,1,0,0
40,t40,logic,1,1,1.0,1,0,0
41,t41,fact,0,1,1.0,1,0,0
42,t42,logic,0,1,1.0,1,0,0
43,t43,fact,0,0,1.0,1,0,0
44,t44,fact,0,1,1.0,1,0,0
45,t45,fact,0,1,1.0,1,0,0
46,t46,logic,0,1,1.0,1,0,0
47,t47,logic,1,1,1.0,1,0,0
48,t48,logic,0,1,1.0,1,0,0
49,t49,logic,1,1,1.0,1,0,0
50,t50,logic,1,1,1.0,1,0,0
51,t51,fact,0,1,1.0,1,0,0
52,t52,logic,1,1,1.0,1,0,0
53,t53,fact,0,1,1.0,1,0,0
54,t54,fact,0,1,1.0,1,0,0
55,t55,logic,0,1,1.0,1,0,0
56,t56,logic,0,1,1.0,1,0,0
57,t57,logic,0,1,1.0,1,0,0
58,t58,fact,0,0,1.0,1,0,0
59,t59,fact,0,1,1.0,1,0,0
